곡 세부 장르 리스트,발매일,앨범 명,앨범 ID,아티스트 ID 리스트,곡 제목,곡 장르 리스트,아티스트 리스트,곡 ID,대분류str
"['GN1503', 'GN1501']",20011201,낫 어나더 틴 무비 OST,26233,[100545],"Please, Please, Please, Let Me Get What I Want",['GN1500'],['Muse'],647236,GN1500
"['GN1501', 'GN1505']",20140127,셜록 - 시리즈 3 OST,2229104,"[27378, 49779]",Waltz For John And Mary,['GN1500'],"['David Arnold', 'Michael Price']",311465,GN1500
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20110520,High School Musical 2 (The Musical Collection),2662974,[826502],What Time Is It,"['GN1500', 'GN2900']",['West End Orchestra & Singers'],133581,GN1500 GN2900
"['GN1503', 'GN1501']",20180817,The Best of Hans Zimmer Vol.2 (한스 짐머 영화음악 베스트 2),10194674,[547268],Interstellar (인터스텔라) - No Time for Caution,['GN1500'],['London Music Works'],219508,GN1500
"['GN1503', 'GN1501']",20090331,Cinema Paradise,530453,[2727],The Stepford Wives : Main Theme,['GN1500'],['Various Artists'],231685,GN1500
"['GN1502', 'GN1501']",20160119,내부자들 OST,2662697,[895765],도청?,['GN1500'],['The Soundtrackings'],276646,GN1500
"['GN1501', 'GN1504']",20120727,신사의 품격 OST 2,2138683,[2727],나보다 더 (Inst.),['GN1500'],['Various Artists'],195758,GN1500
['GN1501'],20120906,뮤지컬 `번지점프를 하다` OST Part.2,2149358,[2727],그런가봐 (Part 1. 현재 / Part 2. 과거),['GN1500'],['Various Artists'],480588,GN1500
"['GN1501', 'GN1504']",20190215,운명과 분노 OST,10251475,"[43739, 711400]",Silence,['GN1500'],"['박세준', '김민지']",110255,GN1500
"['GN1501', 'GN1504']",20131211,상속자들 OST 2,2220755,[565573],성장통 2,['GN1500'],['차가운 체리'],406689,GN1500
"['GN1503', 'GN1501']",20170210,The Champ Soundtrack,10037413,[2046],T.J`s Theme,['GN1500'],['Dave Grusin'],25634,GN1500
"['GN0105', 'GN1501']",20100507,위기일발 풍년빌라 OST Part.3,882151,[4699],사랑해서 미안해,"['GN1500', 'GN0100']",['문명진'],535827,GN1500 GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20151208,오 마이 비너스 OST Part.4,2655328,[197910],It`s Me,"['GN1500', 'GN0100']",['미(MIIII)'],536880,GN1500 GN0100
"['GN1501', 'GN1504']",20190314,The OST,10261068,[792091],너였다면,['GN1500'],['정승환'],606218,GN1500
"['GN0601', 'GN1501', 'GN1504']",20101104,정글 피쉬 - 시즌2 OST,1026920,[184730],잠들지 않는 꿈,"['GN0600', 'GN1500']",['타루'],20389,GN0600 GN1500
"['GN1501', 'GN1506']",19970322,TV 만화주제가,367174,[2727],외계인,['GN1500'],['Various Artists'],323917,GN1500
"['GN1501', 'GN1504']",20200204,블랙독 OST,10383463,[2727],Revenge,['GN1500'],['Various Artists'],529858,GN1500
"['GN1502', 'GN1501']",20170123,공조 OST,10033038,[13506],차기성 Vs 림철령,['GN1500'],['황상준'],655587,GN1500
"['GN1501', 'GN1510', 'GN1506']",20100511,아이온 2.0 아트레이아의 서 OST,886856,[471661],Abyss (심연),['GN1500'],['주인로'],422216,GN1500
"['GN0104', 'GN1501', 'GN1504']",20080623,밤이면 밤마다 OST,386733,[108581],내 꿈이여,"['GN1500', 'GN0100']",['엠투엠 (M To M)'],493366,GN1500 GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20140220,식샤를 합시다 OST Part.6,2234451,[757911],소심한 고백,"['GN1500', 'GN0100']",['이효원'],696666,GN1500 GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20190121,알함브라 궁전의 추억 OST,10244223,[695994],I`m Here,"['GN1500', 'GN0100']",['양다일'],342450,GN1500 GN0100
"['GN1501', 'GN0201', 'GN1504']",20100315,지붕뚫고 하이킥 OST (Special Edition),827451,[6162],소리질러,"['GN1500', 'GN0200']",['후니훈'],120686,GN1500 GN0200
"['GN1503', 'GN1501']",19930000,쿨 러닝 (Cool Runnings) OST,41159,[2727],Stir It Up,['GN1500'],['Various Artists'],679033,GN1500
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20170731,훈장 오순남 OST Part.13,10083684,[8314],생각이 안 나,"['GN1500', 'GN0100']",['한경일'],615753,GN1500 GN0100
"['GN1503', 'GN1501']",19980101,나는 네가 지난 여름에 한 일을 알고 있다 OST,25447,[104916],Clumsy,['GN1500'],['Our Lady Peace'],473117,GN1500
['GN1501'],20080627,최강칠우 OST,387163,[2727],태평성대,['GN1500'],['Various Artists'],201600,GN1500
"['GN1502', 'GN1501']",20150318,소셜포비아 OST (Socialphobia Original Soundtrack),2309456,[771650],Socialphobia: The Judge,['GN1500'],['김해원'],606614,GN1500
"['GN1502', 'GN1501']",20030201,국화꽃 향기 OST,28985,[24432],사랑의 고백,['GN1500'],['정은아'],448454,GN1500
"['GN1503', 'GN1501']",20131028,Thor: The Dark World (Original Motion Picture Soundtrack),2213163,[193732],Battle Of Vanaheim,['GN1500'],['Brian Tyler'],553603,GN1500
"['GN1501', 'GN1505']",20150206,Wo De Bao Bei Si Qian Jin (Music from the Original TV Series),191705,[728682],Yun Xiao Fei Che,['GN1500'],['Dawen Wang'],290770,GN1500
"['GN0601', 'GN1501', 'GN1504']",20190223,막돼먹은 영애씨 시즌17 OST Part.5,10254331,[14490],Viva My Life,"['GN0600', 'GN1500']",['길미'],579568,GN0600 GN1500
"['GN1501', 'GN1505', 'GN1001']",20130317,The Walking Dead (AMC`s Original Soundtrack - Vol.1),2179564,[720366],Love Bug (The Walking Dead Soundtrack),"['GN1500', 'GN1000']",['Baby Bee'],471723,GN1500 GN1000
"['GN1503', 'GN1501']",20020917,The Four Feathers Ost,87354,[11613],Sniper!,['GN1500'],['James Horner'],674069,GN1500
"['GN1503', 'GN1501']",20120110,Mission:  Impossible - Ghost Protocol (Music From The Motion Picture),2093647,[338766],Moreau Trouble Than She&#39;s Worth,['GN1500'],['Michael Giacchino'],593177,GN1500
"['GN0105', 'GN0101', 'GN2505', 'GN2503', 'GN1501', 'GN2501', 'GN1504']",20120206,드림하이2 OST Part.2,2075726,[514741],You`re My Star,"['GN2500', 'GN1500', 'GN0100']",['수지 (SUZY)'],95040,GN2500 GN1500 GN0100
"['GN1501', 'GN1504']",20161027,옥중화 OST,10009939,[2727],옥중화 (Feat. 임윤정),['GN1500'],['Various Artists'],97065,GN1500
"['GN1502', 'GN1501']",20160119,내부자들 OST,2662697,[895765],분노,['GN1500'],['The Soundtrackings'],423778,GN1500
"['GN1503', 'GN1501']",20060201,뻐꾸기 둥지 위로 날아간 새 OST,327258,[28785],Last Dance,['GN1500'],['Jack Nitzsche'],537135,GN1500
"['GN1501', 'GN1504', 'GN0103']",20010925,순정 OST,3358,[3033],얼굴,"['GN1500', 'GN0100']",['서영은'],555837,GN1500 GN0100
"['GN1501', 'GN1504']",20140226,별에서 온 그대 OST,2236069,[2727],Star Bach Comic,['GN1500'],['Various Artists'],281394,GN1500
"['GN1503', 'GN1501']",20071109,비커밍 제인 OST,360701,[231172],Bond Street Airs,['GN1500'],['Adrian Johnstone'],30412,GN1500
"['GN1502', 'GN1501']",20021001,중독 OST,22253,[1965],La Pluie,['GN1500'],['정재형'],231503,GN1500
"['GN1503', 'GN1501']",19890000,시네마 천국 (Cinema Paradiso) OST,312527,[2988],Projection For Two,['GN1500'],['Ennio Morricone'],566305,GN1500
['GN1501'],20060131,엘 워드 : 시즌 3 OST,345425,[219997],Jesus,['GN1500'],['Betty'],563844,GN1500
"['GN1503', 'GN1501']",20160509,2015 Fall : Movie Songs & Theme Music Soundtracks 2015 할리우드 영화 OST 음악 베스트 Part.2,2683648,[968506],Money For Nothing,['GN1500'],['The Memory Lane'],148696,GN1500
['GN1501'],20040510,북경 내 사랑 OST,34665,[108797],북경내사랑,['GN1500'],['메리-엠'],180942,GN1500
"['GN1503', 'GN1501']",20060410,굿 나잇 앤 굿럭 OST,317774,[27424],There'll Be Another Spring,['GN1500'],['Dianne Reeves'],485407,GN1500
"['GN1501', 'GN1504']",20151116,발칙하게 고고 OST,2650837,[2727],Hold On There,['GN1500'],['Various Artists'],193654,GN1500
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20200312,우아한 모녀 OST Part.16,10401613,[230235],사랑이 서툴러서,"['GN1500', 'GN0100']",['조문근'],520820,GN1500 GN0100
"['GN2207', 'GN1501', 'GN1506', 'GN1509']",20160707,프리즘스톤 - 올스타 셀렉션 (PrismStone - All Star Selection),2696021,[2727],Que Sera (마르스),"['GN1500', 'GN2200']",['Various Artists'],344315,GN1500 GN2200
"['GN1501', 'GN0101']",20170830,돌아온 복단지 OST Part.7,10092026,[484881],별꽃 (Inst.),"['GN1500', 'GN0100']",['제이세라'],617033,GN1500 GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20160229,한번 더 해피엔딩 OST Part.6,2669525,[655051],때론,"['GN1500', 'GN0100']",['벤'],164954,GN1500 GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20110328,웃어요 엄마 OST,1229353,[150529],사랑은 못해요,"['GN1500', 'GN0100']",['임정희'],76059,GN1500 GN0100
"['GN1501', 'GN0101']",20170517,추리의 여왕 OST Part.4,10062943,"[8641, 1654]",Goodbye (Inst.),"['GN1500', 'GN0100']","['Ann One', '윤미래']",205378,GN1500 GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20110808,스파이 명월 OST,2006974,"[6027, 462925]",사랑 할 수 있을 때,"['GN1500', 'GN0100']","['바비 킴', '길학미']",480997,GN1500 GN0100
"['GN1503', 'GN1501']",20121211,호빗 : 뜻밖의 여정 OST (Deluxe Ver.),2170812,[34805],Song Of The Lonely Mountain (Extended Ver.),['GN1500'],['Neil Finn'],484574,GN1500
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20150210,Musicals - The Gold Collection,2303917,"[32979, 50313, 419141]","Annie Get Your Gun (애니여, 총을 잡아라) - Anything You Can Do","['GN1500', 'GN2900']","['Jason Howard', 'Gloria Jones', 'The City Of Prague Philharmonic']",400609,GN1500 GN2900
"['GN0105', 'GN1501']",20120119,꽃미남 라면가게 OST 스페셜,2067326,[578552],Happy,"['GN1500', 'GN0100']",['유리아 (DNPD)'],229717,GN1500 GN0100
"['GN1503', 'GN1501']",20110712,해리포터와 죽음의 성물 2부 OST,1336952,[60300],In the Chamber Of Secrets,['GN1500'],['Alexandre Desplat'],354157,GN1500
"['GN1501', 'GN1505']",20191004,"Empire (Season 6, Nothing to Lose) (Music from the TV Series)",10335942,[858081],Kiss Myself (From &#34;Empire: Season 6&#34;) (Feat. Serayah & Katlynn Simone),['GN1500'],['Empire Cast'],321106,GN1500
"['GN0105', 'GN1501']",20111004,무사 백동수 OST Special,2017246,[182430],사랑에 빠지다 (Acoustic Ver.),"['GN1500', 'GN0100']",['김태우'],662979,GN1500 GN0100
"['GN1503', 'GN1501']",20120724,투 로마 위드 러브 OST,2138411,[686601],"Amada Mia, Amore Mio",['GN1500'],['The Starlight Orchestra'],395943,GN1500
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20131001,굿닥터 OST Part.6,2203533,[16626],소독약 (Love medicine),"['GN1500', 'GN0100']",['주원'],532685,GN1500 GN0100
"['GN1501', 'GN0205', 'GN0201', 'GN1504']",20191010,7일만 로맨스 OST Part.1,10336353,[2749243],Crush On Me,"['GN1500', 'GN0200']",['우정아'],65278,GN1500 GN0200
"['GN1501', 'GN1504']",19911100,여명의 눈동자 OST,9492,[1538],Sub Title : Love Theme 여옥의 테마,['GN1500'],['최경식'],8048,GN1500
"['GN1501', 'GN1506', 'GN1509']",20120313,타임 인 조선 OST Part.1,2092495,[406282],여린 마음,['GN1500'],['불꽃심장 (양수혁)'],209192,GN1500
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20130306,7급 공무원 OST,2177053,[16626],사랑할 줄 몰라서,"['GN1500', 'GN0100']",['주원'],69613,GN1500 GN0100
"['GN1501', 'GN1504']",20120326,샐러리맨 초한지 OST,2099406,[2727],막무가내,['GN1500'],['Various Artists'],575161,GN1500
"['GN1503', 'GN1304', 'GN1501', 'GN1302']",19990410,베스트 맨 OST,40673,"[29117, 2201]",Turn The Lights Down Low,"['GN1500', 'GN1300']","['Lauryn Hill', 'Bob Marley']",680029,GN1500 GN1300
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20200326,그 남자의 기억법 OST Part.1,10408593,[511108],나의 오늘이 너의 오늘을 만나,"['GN1500', 'GN0100']",['주영'],578375,GN1500 GN0100
"['GN1501', 'GN1504']",20170515,그녀는 거짓말을 너무 사랑해 OST,10062250,[1203294],별 헤는 밤,['GN1500'],['홍서영'],61276,GN1500
"['GN1501', 'GN1504']",20170904,학교 2017 OST,10093081,[2727],Drone,['GN1500'],['Various Artists'],144557,GN1500
"['GN1503', 'GN1501']",19970000,티벳에서의 7년 OST,41189,[2061],Seven Years In Tibet,['GN1500'],['Yo-Yo Ma'],572291,GN1500
"['GN1601', 'GN1603', 'GN1613', 'GN1614']",20121128,금난새 셀렉츠 (Nanse Gum Selects) : 마에스트로 금난새의 클래식 음악 여행,2168391,"[29132, 104786]",Schubert : Symphony No.8 In B Minor D.759 `Unfinished` - I. Allegro Moderato (슈베르트 : 교향곡 8번 나단조 `미완성` - 1악장),['GN1600'],"['Herbert Von Karajan', 'Berliner Philharmoniker']",63513,GN1600
"['GN1601', 'GN1602', 'GN1614', 'GN1613']",20141022,내일도 칸타빌레 클래식 앨범 Part.1,2286920,"[29724, 100662]",J.Strauss II : Die Fledermaus - Overture (요한 슈트라우스 2세 : 박쥐 - 서곡),['GN1600'],"['Lorin Maazel', 'Wiener Philharmoniker']",582961,GN1600
"['GN1601', 'GN1615', 'GN1610']",20010101,Carnegie Hall(카네기홀 라이브),31949,[2089],Bellini:: I Puritani -- Son Vergin Vezzosa(난 어여쁜 아가씨라네)(청교도),['GN1600'],['조수미'],283429,GN1600
"['GN1601', 'GN1604']",20030600,Obrigado Brazil,32018,[2061],Cristal,['GN1600'],['Yo-Yo Ma'],429916,GN1600
"['GN1601', 'GN1606']",20180831,Evolution,10199123,[1956263],Waterfalls,['GN1600'],['Alexis Ffrench'],704326,GN1600
"['GN2216', 'GN1601']",20150401,우리 아이 태교 자장가로 좋은 클래식 오르골 Vol.6,2311857,[786651],Mozart : Piano Sonata No.10 In C Major K.330 - I. Allegro Moderato (모차르트 : 피아노 소나타 10번 다장조 - 1악장),"['GN1600', 'GN2200']",['오르골 뮤직박스'],10929,GN1600 GN2200
"['GN1601', 'GN1613', 'GN1606']",20150610,잠재된 내면의 세계로 Vol.3,2323164,[2727],Weber : Sonata No.5 In A Major - II. Finale Siciliano. Allegretto (베버 : 소나타 5번 가장조 - 2악장),['GN1600'],['Various Artists'],56185,GN1600
"['GN1601', 'GN1606']",19930101,"Bach : Partitas, Preludes & Fugues",47784,[4428],"Bach : Praeambulum In D Minor, BWV926",['GN1600'],['Glenn Gould'],17255,GN1600
['GN1601'],20110926,Elin Kolev,2945993,[840937],Liebesfreud,['GN1600'],['Elin Kolev'],656094,GN1600
"['GN1601', 'GN1613', 'GN1605']",20150609,세상 모든 사람들을 감동시킨 클래식 Vol.3,2322803,[2727],Schubert : Piano Trio No.2 In E Flat Major Op.100 D.929 - I. Allegro (슈베르트 : 피아노 3중주 2번 내림 마장조 작품번호 100 - 1악장),['GN1600'],['Various Artists'],113834,GN1600
"['GN1601', 'GN1605']",19880810,Stravinsky : Symphony In C / Symphony Of Psalms / Concerto In D,101633,"[29132, 104786]",Stravinsky : Concerto In D For String Orchestra (1946) - III.Rondo. Allegro,['GN1600'],"['Herbert Von Karajan', 'Berliner Philharmoniker']",315819,GN1600
"['GN1601', 'GN1615', 'GN1610']",20161111,Christmas With Pavarotti,10014373,"[2041, 28192, 261894, 261897]",Panis Angelicus (Live),['GN1600'],"['Luciano Pavarotti', 'Sting', 'Orchestra Da Camera Arcangelo Corelli', 'Aldo Sisilli']",502534,GN1600
"['GN1601', 'GN1615', 'GN1610']",20090303,Arvo Part : In Principio,2219046,"[346714, 745337, 710804, 745335]",La Sindone (For Orchestra),['GN1600'],"['Tonu Kaljuste', 'Estonian Philharmonic Chamber Choir', 'Estonian National Symphony Orchestra', 'Tallinn Chamber Orchestra']",563296,GN1600
"['GN1601', 'GN1602', 'GN1614', 'GN1613']",20140912,The Sound Of Yellow Lounge - Classical Music Mixed By DJ Cle,2281661,"[174433, 714244, 711816]",Einaudi: I giorni - Andante (Edit),['GN1600'],"['Daniel Hope', 'Jacques Ammon', 'Deutsches Kammerorchester Berlin']",296477,GN1600
"['GN1601', 'GN1606']",20070813,피아노교본 - 명곡집 1,355779,[2727],네케 : 크시코스 우편마차,['GN1600'],['Various Artists'],335087,GN1600
"['GN1601', 'GN1606']",20150520,클래식 힐링 테라피,2319426,[408926],Schubert : Piano Sonata No.17 In D Major Op.53 D.850 - IV. Rondo. Allegro Moderato (슈베르트 : 피아노 소나타 17번 라장조 작품번호 53 - 4악장),['GN1600'],['아다지오'],137663,GN1600
"['GN1601', 'GN1606']",20150903,한국인이 좋아하는 명품 피아노클래식 30선,2638190,[894986],Beethoven : Bagatelle In A Minor WoO.59 `Fur Elise` (베토벤 : 바가텔 가단조 `엘리제를 위하여`),['GN1600'],['클래식이야기'],373740,GN1600
"['GN1608', 'GN1601']",20140506,All That Echoes (Deluxe),2256608,[28214],Changing Colours (Bonus Track),['GN1600'],['Josh Groban'],695833,GN1600
"['GN1601', 'GN1604']",20010111,Schumann: Cello Concerto; Chamber Music,103748,"[2234, 100280, 29733]","Schumann : Adagio And Allegro In A Flat, Op.70 - 1. Langsam, Mit Innigem Ausdruck ",['GN1600'],"['Mischa Maisky', 'Orpheus Chamber Orchestra', 'Martha Argerich']",383464,GN1600
"['GN1601', 'GN1605']",20191108,Sibelius : Violin Concerto Op.47 & Bruch : Scottish Fantasy Op.46,10348890,[29573],Sibelius : Violin Concerto In D Minor Op.47 - I. Allegro Moderato (시벨리우스 : 바이올린 협주곡 라단조 작품번호 47 - 1악장),['GN1600'],['Midori'],110558,GN1600
"['GN1601', 'GN1613', 'GN1605']",20151116,(고음질) 111 Classical Masterpieces Vol.2 마음을 편안하게 하는 힐링 클래식 명곡 베스트 111,2651708,"[520060, 905309, 420326]",Dvorak : Cello Concerto In B Minor Op.104 - I. Allegro (드보르작 : 첼로 협주곡 나단조 작품번호 104 - 1악장),['GN1600'],"['Jorg Metzger', 'Othmar M.F. Maga', 'Nurnberg Symphony Orchestra']",505298,GN1600
"['GN1601', 'GN1606']",19930101,"Bach : Partitas, Preludes & Fugues",47784,[4428],"Bach : Partita No.6 In E Minor, BWV830 - Sarabande",['GN1600'],['Glenn Gould'],169916,GN1600
"['GN1601', 'GN1603', 'GN1614']",20131025,Bloch : Symphony In C Sharp Minor & Poems Of The Sea (블로흐 : 교향곡 올림 다단조 & 바다의 시),2213043,"[742765, 104889]",Bloch : Symphony In C Sharp Minor - IV. Allegro Energico E Molto Marcato (블로흐 : 교향곡 올림 다단조 - 4악장),['GN1600'],"['Dalia Atlas', 'London Symphony Orchestra']",40044,GN1600
"['GN1601', 'GN1614', 'GN1603']",20191115,Arturo Toscanini Conducts Beethoven,10351263,[3539],Beethoven : Symphony No.2 In D Major Op.36 - IV. Allegro Molto (베토벤 : 교향곡 2번 라장조 작품번호 36 - 4악장),['GN1600'],['Arturo Toscanini'],317175,GN1600
"['GN1601', 'GN1602', 'GN1604', 'GN1606', 'GN1614', 'GN1613']",20140326,잔잔한 무드의 클래식 3,2245905,[31199],Bach : Cello Suite No.1 In G Major BWV.1007 - I. Prelude (바흐 : 무반주 첼로 모음곡 1번 사장조 - 1번. 전주곡),['GN1600'],['Gaspar Cassado'],172908,GN1600
['GN1601'],19840101,Bach : 3 Flute Concerto,48186,[28275],Bach : Sinfonia (From Cantata No.209 `Non Sa Che Sia Dolore`),['GN1600'],['Jean-Pierre Rampal'],5992,GN1600
"['GN1601', 'GN1604', 'GN1613']",20141121,베토벤 초기 현악 4중주 작품집 Vol.2,2291738,[2727],Beethoven : String Quartet No.4 In C Minor Op.18-4 - III. Menuetto. Allegretto (베토벤 : 현악 4중주 4번 다단조 작품번호 18-4 - 3악장),['GN1600'],['Various Artists'],358681,GN1600
"['GN1601', 'GN1613', 'GN1606']",20140106,눈 오는 날 듣기좋은 클래식,2224528,[2727],Brahms : Lullaby (브람스 : 자장가),['GN1600'],['Various Artists'],186165,GN1600
"['GN1601', 'GN1606']",20180525,The B-A-C-H Project (Piano Recital : Dora Deliyska),10169900,[944461],Chopin : 12 Etudes No.23 In A Minor Op.25-11 `Winter Wind` - Lento (쇼팽 : 12개의 연습곡 23번 가단조 작품번호 25-11 `겨울바람`),['GN1600'],['Dora Deliyska'],359483,GN1600
['GN1601'],20150601,Mozart: Flute Concerto No.1 K.313; Concerto for Flute & Harp K.299; Andante K.315,213521,"[346651, 42779, 100280]","Mozart: Concerto for Flute, Harp, and Orchestra in C Major, K. 299 - 3. Rondeau. Allegro - Cadenza: Susan Palma and Bernard Rose",['GN1600'],"['Susan Palma', 'Nancy Allen', 'Orpheus Chamber Orchestra']",427172,GN1600
"['GN1601', 'GN1606']",20020501,Liszt : Annees De Pelerinage,35450,[3010],Liszt : Annees De Pelerinage S.161 - Tarantella (리스트 : 순례의 해 - 타란텔라),['GN1600'],['Sviatoslav Richter'],472191,GN1600
"['GN1601', 'GN1606']",20140818,Bach : The Well-Tempered Clavier I,2289833,[37657],Bach : The Well-Tempered Clavier Book I. Prelude And Fugue No.12 In F Minor BWV.857 - Prelude (바흐 : 평균율 클라비어곡집 1권 전주곡과 푸가 12번 바단조 - 전주곡),['GN1600'],['Pierre-Laurent Aimard'],236535,GN1600
"['GN1608', 'GN1601']",20150507,Gaia,2316983,[713854],Gaia (Remix MR),['GN1600'],['민선정'],387824,GN1600
"['GN1601', 'GN1613', 'GN1606']",20131217,캐롤과 함께하는 화이트 크리스마스,2221830,[2727],저 들밖에 한 밤 중에 (The First Noel),['GN1600'],['Various Artists'],181860,GN1600
"['GN1601', 'GN1613', 'GN1605']",20100415,절대명연 Classic - The Absolute Virtuso Of Classics,2306675,"[29343, 592812, 421986]",Kreisler : Violin Concerto In C Major - III. Allegro Molto (In The Style Of Vivaldi) (크라이슬러 : 바이올린 협주곡 다장조 - 3악장),['GN1600'],"['Fritz Kreisler', 'Donald Voorhees', 'RCA Victor Symphony Orchestra']",538606,GN1600
"['GN1601', 'GN1606']",20190530,"추천, 잔잔하고 감성적인 클래식 이곡 16",10291155,[2559000],Haydn : Symphony No.94 In G Major `The Surprise` - II. Andante (하이든 : 교향곡 94번 사장조 `놀람` - 2악장),['GN1600'],['봄바람피아노'],578110,GN1600
"['GN1601', 'GN1613', 'GN1606']",20140829,슈만 피아노 판타지 (슈만 클래식 피아노 작품집 Vol.3),2278887,[2727],Schumann : Kreisleriana Op.16 - II. Sehr Innig Und Nicht Zu Rasch (슈만 : 크라이슬레리아나 작품번호 16 - 2번. 충분히 표현하며 너무 빠르지 않게),['GN1600'],['Various Artists'],339323,GN1600
"['GN1601', 'GN1613', 'GN1606']",20171123,꿀벌과 천둥,10113770,[2180],Liszt : Piano Sonata In B Minor S.178 - IV. Andante Sostenuto - Allegro Moderato - Lento Assai (리스트 : 피아노 소나타 나단조 - 4악장),['GN1600'],['Emil Gilels'],61533,GN1600
"['GN1601', 'GN1602', 'GN1614']",20110503,Martha Argerich : The Collection 4 - Complete Philips Recordings,1275252,"[166369, 2009073]","Meschwitz: Tier-Gebete, For Speaker And Piano - 6. Gebet der Elefanten",['GN1600'],"['Gidon Kremer', 'Elena Bashkirova']",375831,GN1600
"['GN1601', 'GN1606']",20190329,Piano Book (Deluxe Edition),10267568,[346065],"멘델스존: 무언가, Op.67: 4. Presto &#34;물레의 노래(Spinning Song)&#34;",['GN1600'],['Lang Lang'],95491,GN1600
"['GN1601', 'GN1604']",20100315,Mendelssohn : Piano Trios,828056,"[2061, 32307, 2008]",Mendelssohn : Piano Trio No.2 In C Minor Op.66 - II. Andante Espressivo (멘델스존 : 피아노 3중주 2번 다단조 작품번호 66 - 2악장),['GN1600'],"['Yo-Yo Ma', 'Emanuel Ax', 'Itzhak Perlman']",211285,GN1600
"['GN1601', 'GN1605']",20161209,Rautavaara : Piano Concerto No.3 / Autumn Gardens (라우타바라 : 피아노 협주곡 3번 / 가을 정원),10022292,"[29219, 788298]",Rautavaara : Autumn Gardens - III. Giocoso E Leggiero (라우타바라 : 가을 정원 - 3악장),['GN1600'],"['Vladimir Ashkenazy', 'Helsinki Philharmonic Orchestra']",176923,GN1600
"['GN1601', 'GN1613', 'GN1606']",20180330,Panorama De La Guitare,10159224,[2137148],John Dowland : Captain Digorie Piper His Galliard (Arr. For Guitar),['GN1600'],['Oscar Caceres'],707135,GN1600
"['GN1601', 'GN1605']",20150305,숙면을 위해 잠들기 전에 듣는 클래식 음악,2307656,[775217],Mendelssohn : Piano concerto No.1 In G Minor Op.25 - II. Andante (멘델스존 : 피아노 협주곡 1번 사단조 작품번호 25 - 2악장),['GN1600'],['숙면 테라피'],389295,GN1600
"['GN1601', 'GN1603', 'GN1614']",20060000,"Grieg : Peer Gynt Suites 1, 2 & Symphonic Dances",83028,[166419],Grieg : Peer Gynt Suite No.1 Op.46 : II The Death of Aase,['GN1600'],['Sakari Oramo'],552239,GN1600
"['GN1601', 'GN1606']",20080423,Rameau : Pieces De Clavecin,104648,[28849],Rameau: Premier Livre de pieces de clavecin / Suite in G minor-major c1728 - Les Triolets,['GN1600'],['Christophe Rousset'],62355,GN1600
"['GN1601', 'GN1613', 'GN1605']",20091216,한국인이 가장 좋아하는 세미클래식 100선 - 미뉴엣,746564,[2727],Grieg : Piano Concerto In A Minor Op.16 - I. Allegro Molto Moderato (그리그 : 피아노 협주곡 가단조 작품번호 16 - 1악장),['GN1600'],['Various Artists'],349575,GN1600
"['GN1601', 'GN1614', 'GN1613', 'GN1603']",20161202,Mozart: The Singles - 66 Classic Tracks,10020239,"[29869, 100662]","Mozart: Symphony No.35 In D, K.385  &#34;Haffner&#34; - 4. Finale (Presto)",['GN1600'],"['James Levine', 'Wiener Philharmoniker']",93602,GN1600
['GN1601'],19920131,"Sibelius: Music For Violin And Piano, Vol. 1",4704164,"[346318, 29254]","Sibelius: Scaramouche, Op. 71: Act Ii: Scene D`Amour (Version For Violin And Piano) - Scaramouche, Op. 71: Scene D`Amour",['GN1600'],"['Nils-Erik Sparf', 'Bengt Forsberg']",52473,GN1600
"['GN1601', 'GN1606']",20011022,Satie : Oeuvres Pour Piano,300601,[163665],Satie : Trois Gnossiennes - No.5 Modere,['GN1600'],['Aldo Ciccolini'],419168,GN1600
"['GN1601', 'GN1615', 'GN1610']",20121018,Verdi : Requiem,2155967,"[346894, 30858, 105907, 105908]",Verdi: Messa da Requiem - 2. Tuba Mirum,['GN1600'],"['Alastair Miles', 'John Eliot Gardiner', 'The Monteverdi Choir', 'Orchestre Revolutionnaire Et Romantique']",30239,GN1600
['GN1601'],20080721,Complete Piano Concertos (프로코피에프 피아노 협주곡 전집),396070,[2166],Prokofiev : Piano Concerto No.4 In B-Flat Major - III. Moderato,['GN1600'],['백건우'],439066,GN1600
"['GN1608', 'GN1601']",20170424,Along A Vanishing Plane,10057302,[1702665],We Keep This Flame,['GN1600'],['Christopher Tignor'],553394,GN1600
"['GN1601', 'GN1606']",20080409,Bach: Solo Keyboard Works,105539,[29060],"J.S. Bach: French Suite No.5 in G, BWV 816 - 3. Sarabande",['GN1600'],['Andr&#225;s Schiff'],604181,GN1600
